 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
24,0.022,107.057,33.828,35,248,0.653,1.671,0.653,1.675,0.210,0.134,174.004,0
25,0.022,95.501,27.445,38,218,0.993,1.722,0.993,1.725,0.246,0.113,155.853,0
26,0.019,127.594,42.271,41,254,4.752,1.746,4.756,1.745,0.188,0.129,94.820,0
27,0.006,95.354,34.156,31,211,5.363,1.710,5.365,1.710,0.137,0.053,40.350,0
28,0.021,113.194,34.728,34,254,2.210,1.789,2.212,1.792,0.180,0.150,115.335,0
29,0.023,118.851,34.571,35,245,5.771,1.858,5.771,1.859,0.233,0.125,74.022,0
30,0.004,74.592,16.847,31,141,3.483,1.815,3.483,1.815,0.074,0.068,42.172,0
31,0.017,86.890,27.263,22,204,5.398,1.827,5.395,1.825,0.221,0.097,2.934,0
32,0.005,85.221,26.261,27,176,3.576,1.832,3.577,1.829,0.101,0.061,86.445,0
33,0.003,95.830,30.350,39,209,3.479,1.916,3.480,1.915,0.063,0.052,96.244,0
34,0.006,87.076,26.852,26,175,3.546,1.955,3.545,1.954,0.103,0.080,95.963,0
35,0.038,91.556,28.967,14,203,6.252,2.071,6.251,2.073,0.239,0.204,65.695,0
36,0.023,115.222,32.898,33,244,1.164,2.093,1.162,2.094,0.240,0.124,166.070,0
37,0.025,102.585,33.704,35,245,0.316,2.160,0.316,2.160,0.211,0.148,80.457,0
38,0.007,113.744,30.167,31,222,1.474,2.391,1.474,2.390,0.101,0.088,88.214,0
39,0.029,126.636,41.013,29,254,6.615,2.514,6.620,2.511,0.315,0.118,26.074,0
40,0.014,126.615,46.215,41,254,1.480,2.516,1.480,2.512,0.142,0.124,2.828,0
41,0.016,105.907,32.117,22,250,3.523,2.555,3.521,2.553,0.160,0.124,89.198,0
42,0.017,119.526,43.823,37,254,6.300,2.556,6.305,2.550,0.157,0.138,65.063,0
43,0.009,113.927,39.776,37,236,3.645,2.593,3.643,2.594,0.128,0.092,68.077,0
44,0.013,131.708,46.015,26,254,6.159,2.662,6.160,2.659,0.155,0.108,70.067,0
45,0.022,119.603,32.060,33,230,0.985,2.669,0.983,2.670,0.176,0.160,149.156,0
46,0.011,86.458,26.062,34,209,2.018,2.643,2.018,2.644,0.166,0.084,175.218,0
47,0.003,80.189,19.668,43,144,2.323,2.662,2.324,2.664,0.067,0.062,69.371,0
48,0.021,127.657,36.573,29,250,3.762,2.797,3.762,2.798,0.225,0.119,105.716,0
49,0.008,90.098,23.370,41,184,2.530,2.799,2.529,2.797,0.112,0.096,105.564,0
50,0.004,86.362,23.090,30,150,2.118,2.842,2.120,2.841,0.085,0.057,46.349,0
51,0.003,86.664,23.608,29,156,1.969,2.856,1.970,2.857,0.067,0.050,160.128,0
52,0.007,100.368,33.144,30,207,2.407,2.916,2.410,2.919,0.113,0.077,164.539,0
53,0.028,116.236,40.468,25,254,7.686,3.051,7.679,3.049,0.231,0.153,107.857,0
54,0.021,122.390,38.361,30,254,3.341,3.071,3.342,3.073,0.228,0.116,66.388,0
